topic,sub_topic,type,title,link,level
Python,Exception Handling,Video,Python Error Handling Tutorial [YouTube],https://www.youtube.com/watch?v=NIWwJbo-9_8,Intermediate
Python,Exception Handling,Blog,Python Try Except [RealPython],https://realpython.com/python-exceptions/,Intermediate
Python,Data Structures,Video,Python Data Structures Full Course [YouTube],https://www.youtube.com/watch?v=WGJJIrtnfpk,Intermediate
Python,Data Structures,Blog,Python Data Structures Guide [GeeksForGeeks],https://www.geeksforgeeks.org/python-data-structures/,Intermediate
Python,Data Structures,Blog,Collections in Python [Programiz],https://www.programiz.com/python-programming/collections,Intermediate
Python,Decorators and Generators,Video,Python Decorators Tutorial [YouTube],https://www.youtube.com/watch?v=FsAPt_9Bf3U,Advanced
Python,Decorators and Generators,Blog,Python Generators Explained [RealPython],https://realpython.com/introduction-to-python-generators/,Advanced
Python,Decorators and Generators,Blog,Python Decorators Made Simple [GeeksForGeeks],https://www.geeksforgeeks.org/decorators-in-python/,Advanced
Python,Regular Expressions,Video,Python Regex Tutorial [YouTube],https://www.youtube.com/watch?v=K8L6KVGG-7o,Intermediate
Python,Regular Expressions,Blog,Python Regular Expressions [Programiz],https://www.programiz.com/python-programming/regex,Intermediate
Python,Web Development (Flask),Video,Flask Tutorial for Beginners [YouTube],https://www.youtube.com/watch?v=Qr4QMBUPxWo,Intermediate
Python,Web Development (Flask),Blog,Flask Tutorial [RealPython],https://realpython.com/tutorials/flask/,Intermediate
Python,Web Development (Django),Video,Django Tutorial for Beginners [YouTube],https://www.youtube.com/watch?v=F5mRW0jo-U4,Intermediate
Python,Web Development (Django),Blog,Getting Started with Django [Official],https://docs.djangoproject.com/en/4.1/intro/tutorial01/,Intermediate
Python,Web Development (Django),Blog,Django Basics [RealPython],https://realpython.com/tutorials/django/,Intermediate
Python,APIs with FastAPI,Video,FastAPI Crash Course [YouTube],https://www.youtube.com/watch?v=7t2alSnE2-I,Intermediate
Python,APIs with FastAPI,Blog,FastAPI Official Docs,https://fastapi.tiangolo.com/,Intermediate
Python,Machine Learning Basics,Video,Machine Learning with Python [YouTube],https://www.youtube.com/watch?v=7eh4d6sabA0,Intermediate
Python,Machine Learning Basics,Blog,Machine Learning with Python [Analytics Vidhya],https://www.analyticsvidhya.com/blog/2021/05/complete-guide-to-learn-machine-learning-using-python/,Intermediate
Python,Data Science with Python,Video,Data Science Full Course [YouTube],https://www.youtube.com/watch?v=ua-CiDNNj30,Intermediate
Python,Data Science with Python,Blog,Data Science with Python [Kaggle Course],https://www.kaggle.com/learn/python,Intermediate
Python,AI & Deep Learning,Video,Deep Learning with Python [YouTube],https://www.youtube.com/watch?v=aircAruvnKk,Advanced
Python,AI & Deep Learning,Blog,Deep Learning with Python Book,https://www.manning.com/books/deep-learning-with-python,Advanced
Python,AI & Deep Learning,Research Paper,Neural Networks in Python [arXiv],https://arxiv.org/pdf/1804.02763.pdf,Advanced
Python,Testing and Debugging,Video,Python Unit Testing Tutorial [YouTube],https://www.youtube.com/watch?v=6tNS--WetLI,Intermediate
Python,Testing and Debugging,Blog,Python Testing Guide [RealPython],https://realpython.com/python-testing/,Intermediate
MERN Stack,Introduction,Video,MERN Stack Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=7CqJlxBYj-M,Beginner
MERN Stack,Introduction,Blog,Introduction to MERN Stack [Simplilearn],https://www.simplilearn.com/tutorials/mongodb-tutorial/what-is-mern-stack,Beginner
MERN Stack,Introduction,Blog,What is MERN Stack? [GeeksForGeeks],https://www.geeksforgeeks.org/mern-stack/,Beginner
MongoDB,Database Basics,Video,MongoDB Crash Course [YouTube],https://www.youtube.com/watch?v=ofme2o29ngU,Beginner
MongoDB,Database Basics,Blog,MongoDB Official Documentation,https://www.mongodb.com/docs/manual/,Beginner
MongoDB,CRUD Operations,Video,MongoDB CRUD Operations [YouTube],https://www.youtube.com/watch?v=3f5Q9wDePzY,Intermediate
MongoDB,CRUD Operations,Blog,MongoDB CRUD Tutorial [MongoDB University],https://www.mongodb.com/docs/manual/crud/,Intermediate
Express.js,Introduction,Video,Express.js Crash Course [YouTube],https://www.youtube.com/watch?v=L72fhGm1tfE,Beginner
Express.js,Introduction,Blog,Express.js Tutorial [GeeksForGeeks],https://www.geeksforgeeks.org/express-js/,Beginner
Express.js,Routing and Middleware,Video,Express Router Tutorial [YouTube],https://www.youtube.com/watch?v=c9ij4aZ91z8,Intermediate
Express.js,Routing and Middleware,Blog,Understanding Express.js Middleware [Medium],https://medium.com/@agoiabeladeyemi/understanding-express-js-middleware-efabf45a4b0b,Intermediate
Express.js,Authentication,Video,JWT Authentication with Express [YouTube],https://www.youtube.com/watch?v=7nafaH9SddU,Intermediate
React.js,Introduction,Video,React JS Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=bMknfKXIFA8,Beginner
React.js,Introduction,Blog,React Official Docs,https://reactjs.org/docs/getting-started.html,Beginner
React.js,Components and Props,Video,React Components Tutorial [YouTube],https://www.youtube.com/watch?v=CDtPMRz3nYY,Beginner
React.js,Components and Props,Blog,Understanding Components and Props [React Docs],https://react.dev/learn/your-first-component,Beginner
React.js,State and Hooks,Video,React Hooks Tutorial [YouTube],https://www.youtube.com/watch?v=f687hBjwFcM,Intermediate
React.js,State and Hooks,Blog,Using State and Effect Hooks [React Docs],https://react.dev/learn/state-a-components-memory,Intermediate
React.js,Routing,Video,React Router Tutorial [YouTube],https://www.youtube.com/watch?v=Law7wfdg_ls,Intermediate
React.js,Routing,Blog,React Router Docs,https://reactrouter.com/en/main,Intermediate
Node.js,Introduction,Video,Node.js Crash Course [YouTube],https://www.youtube.com/watch?v=fBNz5xF-Kx4,Beginner
Node.js,Introduction,Blog,Node.js Tutorial [GeeksForGeeks],https://www.geeksforgeeks.org/node-js/,Beginner
Node.js,File System Module,Video,Node.js File System Module [YouTube],https://www.youtube.com/watch?v=U57kU311-q8,Intermediate
Node.js,File System Module,Blog,Node.js File System [W3Schools],https://www.w3schools.com/nodejs/nodejs_filesystem.asp,Intermediate
Node.js,API Building,Video,Build a REST API with Node.js [YouTube],https://www.youtube.com/watch?v=pKd0Rpw7O48,Intermediate
MERN Stack,Full Project,Video,Build a Complete MERN Stack App [YouTube],https://www.youtube.com/watch?v=ktjafK4SgWM,Intermediate
MERN Stack,Full Project,Video,MERN Stack E-Commerce App [YouTube],https://www.youtube.com/watch?v=AkXVTPWxoq4,Advanced
MERN Stack,Authentication,Video,MERN Stack Authentication Tutorial [YouTube],https://www.youtube.com/watch?v=7CqJlxBYj-M,Intermediate
MERN Stack,Authentication,Blog,JWT Authentication in MERN Stack [Medium],https://medium.com/@rossbulat/jwt-authentication-in-the-mern-stack-cb2ef84d1c24,Intermediate
MERN Stack,Deployment,Video,How to Deploy MERN App on Render [YouTube],https://www.youtube.com/watch?v=PvVD06v-v0I,Intermediate
MERN Stack,Deployment,Blog,Deploy MERN App on Heroku [FreeCodeCamp],https://www.freecodecamp.org/news/deploy-a-mern-app/,Intermediate
MERN Stack,Performance Optimization,Blog,Performance Optimization in MERN [Medium],https://medium.com/@appwrk/mern-stack-app-performance-optimization-5fb61896f8a4,Advanced
MongoDB,Advanced Aggregation,Video,MongoDB Aggregation Tutorial [YouTube],https://www.youtube.com/watch?v=Z8Ugdz3spWA,Advanced
MongoDB,Advanced Aggregation,Blog,MongoDB Aggregation Pipeline [MongoDB Docs],https://www.mongodb.com/docs/manual/aggregation/,Advanced
Express.js,Advanced Routing,Video,Express.js Advanced Routing [YouTube],https://www.youtube.com/watch?v=Z1ktxiqyiLA,Advanced
React.js,Redux State Management,Video,React Redux Crash Course [YouTube],https://www.youtube.com/watch?v=CVpUuw9XSjY,Advanced
React.js,Redux State Management,Blog,Redux Official Docs,https://redux.js.org/introduction/getting-started,Advanced
React.js,Context API,Video,React Context API Tutorial [YouTube],https://www.youtube.com/watch?v=5LrDIWkK_Bc,Advanced
Node.js,Streams and Buffers,Video,Node.js Streams Tutorial [YouTube],https://www.youtube.com/watch?v=UCeVMnS8EeY,Advanced
Node.js,Streams and Buffers,Blog,Understanding Node.js Streams [RisingStack],https://blog.risingstack.com/node-js-streams-everything-you-need-to-know/,Advanced
UX Design,Introduction,Video,What is UX Design? [YouTube],https://www.youtube.com/watch?v=Ovj4hFxko7c,Beginner
UX Design,Introduction,Blog,Introduction to UX Design [Interaction Design Foundation],https://www.interaction-design.org/literature/topics/ux-design,Beginner
UX Design,Principles of UX,Video,Principles of UX Design [YouTube],https://www.youtube.com/watch?v=Vj4J3jXfE1o,Beginner
UX Design,Principles of UX,Blog,7 Principles of UX Design [Adobe Blog],https://xd.adobe.com/ideas/process/ui-design/ux-design-principles/,Beginner
UX Design,User Research,Video,User Research in UX Design [YouTube],https://www.youtube.com/watch?v=sL5iQDxRjGI,Intermediate
UX Design,User Research,Blog,User Research Basics [NNG],https://www.nngroup.com/articles/user-research-methods/,Intermediate
UX Design,Wireframing,Video,How to Wireframe [YouTube],https://www.youtube.com/watch?v=3pUdV5dHLT0,Beginner
UX Design,Wireframing,Blog,Complete Guide to Wireframing [CareerFoundry],https://careerfoundry.com/en/blog/ux-design/how-to-create-your-first-wireframe/,Beginner
UX Design,Prototyping,Video,How to Prototype: UX Prototyping [YouTube],https://www.youtube.com/watch?v=Jao3s_CwdRU,Intermediate
UX Design,Prototyping,Blog,Prototyping in UX [Adobe XD Ideas],https://xd.adobe.com/ideas/process/prototyping/what-is-a-prototype-in-ux-design/,Intermediate
UX Design,User Testing,Video,User Testing Explained [YouTube],https://www.youtube.com/watch?v=WhJQEgJCEhE,Intermediate
UX Design,User Testing,Blog,What is Usability Testing? [NNG],https://www.nngroup.com/articles/usability-testing-101/,Intermediate
UX Design,Accessibility,Video,Accessibility in UX Design [YouTube],https://www.youtube.com/watch?v=OqQkP4V1B9c,Intermediate
UX Design,Accessibility,Blog,Accessibility Guide for UX Designers [UX Collective],https://uxdesign.cc/accessibility-for-ux-designers-a-crash-course-in-accessible-design-15c8f64c7c93,Intermediate
UX Design,UI vs UX,Video,UI vs UX Design: What’s the Difference? [YouTube],https://www.youtube.com/watch?v=TKEpQJmL3xs,Beginner
UX Design,UI vs UX,Blog,UI vs UX: What’s the Difference? [CareerFoundry],https://careerfoundry.com/en/blog/ui-design/ui-vs-ux-design-the-difference/,Beginner
UX Design,Design Thinking,Video,Design Thinking Process [YouTube],https://www.youtube.com/watch?v=a7sEoEvT8l8,Intermediate
UX Design,Design Thinking,Blog,What is Design Thinking? [Interaction Design Foundation],https://www.interaction-design.org/literature/topics/design-thinking,Intermediate
UX Design,User Journey Mapping,Video,User Journey Mapping Explained [YouTube],https://www.youtube.com/watch?v=btR6zSfzk7Y,Intermediate
UX Design,User Journey Mapping,Blog,User Journey Mapping [UX Planet],https://uxplanet.org/how-to-create-journey-maps-in-ux-design-4ef62d249dd8,Intermediate
UX Design,Information Architecture,Video,What is Information Architecture? [YouTube],https://www.youtube.com/watch?v=H_EMSmNf5h8,Intermediate
UX Design,Information Architecture,Blog,Complete Guide to Information Architecture [CareerFoundry],https://careerfoundry.com/en/blog/ux-design/information-architecture-ux/,Intermediate
UX Design,UX Tools,Video,Top UX Design Tools 2024 [YouTube],https://www.youtube.com/watch?v=j91E4L7zFew,Beginner
UX Design,UX Tools,Blog,Best UX Tools for Designers [UXTools.co],https://uxtools.co/tools,Beginner
UX Design,Portfolio Building,Video,How to Build a UX Design Portfolio [YouTube],https://www.youtube.com/watch?v=X8v7T3iVzFE,Intermediate
UX Design,Portfolio Building,Blog,UX Design Portfolio Tips [Adobe Blog],https://xd.adobe.com/ideas/process/ui-design/how-to-create-ux-portfolio/,Intermediate
UX Design,Case Studies,Video,UX Case Studies Explained [YouTube],https://www.youtube.com/watch?v=QnUDjHK6SL8,Advanced
UX Design,Case Studies,Blog,UX Case Study Example [UX Collective],https://uxdesign.cc/ux-case-study-how-we-re-designed-our-website-using-user-research-9cf63c19e781,Advanced
UX Design,Responsive Design,Video,Responsive UX Design [YouTube],https://www.youtube.com/watch?v=kjA1iGABc8Y,Intermediate
UX Design,Responsive Design,Blog,Responsive Web Design Basics [Google Web Dev],https://web.dev/learn/design/responsive-design/,Intermediate
UX Design,Human-Centered Design,Video,What is Human-Centered Design? [YouTube],https://www.youtube.com/watch?v=rrkrvAUbU9Y,Intermediate
UX Design,Human-Centered Design,Blog,Human-Centered Design Guide [IDEO],https://www.designkit.org/human-centered-design,Intermediate
Power BI,Introduction,Video,Power BI Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=AGrl-H87pRU,Beginner
Power BI,Introduction,Blog,What is Power BI? [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/power-bi-overview,Beginner
Power BI,Data Import,Video,Importing Data into Power BI [YouTube],https://www.youtube.com/watch?v=3J4Dg-yG7S8,Beginner
Power BI,Data Import,Blog,Get Data in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/connect-data/desktop-quickstart-connect-to-data,Beginner
Power BI,Data Transformation,Video,Power Query Basics in Power BI [YouTube],https://www.youtube.com/watch?v=1mO8lZl_T7w,Beginner
Power BI,Data Transformation,Blog,Shape and Combine Data [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-shape-and-combine-data,Beginner
Power BI,Data Modeling,Video,Data Modeling in Power BI [YouTube],https://www.youtube.com/watch?v=AH3U6nU5z9M,Intermediate
Power BI,Data Modeling,Blog,Data Modeling Best Practices [Microsoft],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-data-modeling,Intermediate
Power BI,DAX,Video,DAX Basics in Power BI [YouTube],https://www.youtube.com/watch?v=tJc3ZlGs7q8,Intermediate
Power BI,DAX,Blog,Introduction to DAX [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-quickstart-learn-dax-basics,Intermediate
Power BI,Visualization,Video,Creating Visualizations in Power BI [YouTube],https://www.youtube.com/watch?v=nkjegxT9xKk,Beginner
Power BI,Visualization,Blog,Visualizations in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/visuals/power-bi-visualization-types-for-reports-and-q-and-a,Beginner
Power BI,Advanced Visualization,Video,Advanced Visualizations in Power BI [YouTube],https://www.youtube.com/watch?v=3VddOZXS6WU,Intermediate
Power BI,Advanced Visualization,Blog,Customize Visuals with Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/visuals/power-bi-custom-visuals,Intermediate
Power BI,Reports & Dashboards,Video,Build Reports and Dashboards [YouTube],https://www.youtube.com/watch?v=RtZpmF5D3dI,Intermediate
Power BI,Reports & Dashboards,Blog,Create a Dashboard [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/create-reports/service-create-dashboard,Intermediate
Power BI,Sharing Reports,Video,Sharing and Publishing Reports in Power BI [YouTube],https://www.youtube.com/watch?v=z4VHKXTjhZ0,Intermediate
Power BI,Sharing Reports,Blog,Share and Collaborate on Power BI Reports [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/collaborate-share/service-share-dashboards,Intermediate
Power BI,Power BI Service,Video,Introduction to Power BI Service [YouTube],https://www.youtube.com/watch?v=z3uQ7cGJj4Y,Beginner
Power BI,Power BI Service,Blog,Using Power BI Service [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/service-overview,Beginner
Power BI,Embedded Analytics,Video,Power BI Embedded Analytics Tutorial [YouTube],https://www.youtube.com/watch?v=DrGRle3NbS8,Advanced
Power BI,Embedded Analytics,Blog,Power BI Embedded Overview [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/developer/embedded/embedding-basic-concepts,Advanced
Power BI,Row-Level Security,Video,Row-Level Security in Power BI [YouTube],https://www.youtube.com/watch?v=PiRWaYwIVlM,Advanced
Power BI,Row-Level Security,Blog,Implement Row-Level Security [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/enterprise/service-admin-rls,Advanced
Power BI,Real-time Data,Video,Real-time Dashboard in Power BI [YouTube],https://www.youtube.com/watch?v=1uAIN5-N8gk,Advanced
Power BI,Real-time Data,Blog,Real-time Streaming Datasets [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/connect-data/service-real-time-streaming,Advanced
Power BI,Paginated Reports,Video,Paginated Reports in Power BI [YouTube],https://www.youtube.com/watch?v=qxGn8pYtBXw,Advanced
Power BI,Paginated Reports,Blog,Paginated Reports Overview [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/paginated-reports/paginated-reports-overview,Advanced
Power BI,Power BI vs Tableau,Video,Power BI vs Tableau [YouTube],https://www.youtube.com/watch?v=cDGFgfbJXZ0,Intermediate
Power BI,Power BI vs Tableau,Blog,Comparison between Power BI and Tableau [Simplilearn],https://www.simplilearn.com/power-bi-vs-tableau-article,Intermediate
Power BI,AI Insights,Video,AI in Power BI [YouTube],https://www.youtube.com/watch?v=y07XHtcwPa8,Advanced
Power BI,AI Insights,Blog,Use AI Insights in Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/transform-model/desktop-ai-insights,Advanced
Power BI,Power BI for Business,Video,Power BI for Business Analysis [YouTube],https://www.youtube.com/watch?v=3KtDH5G_A34,Beginner
Power BI,Power BI for Business,Blog,How Businesses Use Power BI [Microsoft Docs],https://learn.microsoft.com/en-us/power-bi/fundamentals/power-bi-business,Beginner
Tableau,Introduction,Video,Tableau Full Course for Beginners [YouTube],https://www.youtube.com/watch?v=TdTqzJdf-b8,Beginner
Tableau,Introduction,Blog,What is Tableau? [Tableau Official],https://www.tableau.com/learn/articles/what-is-tableau,Beginner
Tableau,Getting Started,Video,Getting Started with Tableau [YouTube],https://www.youtube.com/watch?v=Pe0hZ1GmBz8,Beginner
Tableau,Getting Started,Blog,Getting Started with Tableau [Official Guide],https://help.tableau.com/current/guides/get-started-tutorial/en-us/get-started-tutorial-home.htm,Beginner
Tableau,Data Import,Video,Import Data in Tableau [YouTube],https://www.youtube.com/watch?v=SezWx-wiSj8,Beginner
Tableau,Data Import,Blog,Connect to Data [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/examples_otherdatabases.htm,Beginner
Tableau,Data Preparation,Video,Data Preparation in Tableau [YouTube],https://www.youtube.com/watch?v=WDrPq3NbS1A,Beginner
Tableau,Data Preparation,Blog,Data Preparation Overview [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/data_preparing.htm,Beginner
Tableau,Data Visualization,Video,Data Visualization with Tableau [YouTube],https://www.youtube.com/watch?v=0MgNg5bWHtU,Beginner
Tableau,Data Visualization,Blog,Data Visualization Basics [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/buildexamples_charts.htm,Beginner
Tableau,Dashboards,Video,Creating Dashboards in Tableau [YouTube],https://www.youtube.com/watch?v=1HzkwmoaJSA,Intermediate
Tableau,Dashboards,Blog,Build Dashboards and Stories [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/dashboards.htm,Intermediate
Tableau,Data Blending,Video,Data Blending and Joins [YouTube],https://www.youtube.com/watch?v=7-7zyo9xORw,Intermediate
Tableau,Data Blending,Blog,Combine Data from Multiple Sources [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/multiple_connections.htm,Intermediate
Tableau,Calculations,Video,Calculated Fields in Tableau [YouTube],https://www.youtube.com/watch?v=8K3opN0eZZ8,Intermediate
Tableau,Calculations,Blog,Calculated Fields and Functions [Tableau Docs],https://help.tableau.com/current/pro/desktop/en-us/calculations_calculatedfields.htm,Intermediate
Tableau,Filters,Video,Filters in Tableau [YouTube],https://www.youtube.com/watch?v=sdQUJMEVN6M,Beginner
Tableau,Filters,Blog,Types of Filters in Tableau [Tableau Blog],https://www.tableau.com/learn/articles/types-filters-tableau,Beginner
